Features,Model,MSE,R²
"Density,VSA,VF",XG_RF,0.4085421290155495,0.9684311425627902
"Density,VSA,VF",SK_GB,0.084875819,0.9934414777959576
"Density,VSA,VF",SK_LR,3.858822270803281,0.7018211795291186
"Density,VSA,PV",SK_RF,0.059668959,0.9953892616667706
"Density,VSA,PV",XG_RF,0.25653880612697844,0.98017674
"Density,VSA,PV",SK_GB,0.12891048284758092,0.9900388323109212
"Density,VSA,PV",SK_LR,1.078892919021734,0.9166318126537301
"Density,VSA,LCD",SK_RF,0.1363256721091062,0.989465846
"Density,VSA,LCD",XG_RF,3.575364408692253,0.7237245285423577
"Density,VSA,LCD",SK_GB,0.16395285587920388,0.9873310389159964
"Density,VSA,LCD",SK_LR,2.863044252538133,0.7787669142896171
"Density,VSA,PLD",SK_RF,0.17784194871050532,0.986257801
"Density,VSA,PLD",XG_RF,3.3093463713860043,0.7442802678382865
"Density,VSA,PLD",SK_GB,0.1939826670140619,0.9850105760818033
"Density,VSA,PLD",SK_LR,2.889480976844702,0.7767240963732569
"Density,VF,PV",SK_RF,0.064978573,0.9949789773246789
"Density,VF,PV",XG_RF,0.25653880612697844,0.98017674
"Density,VF,PV",SK_GB,0.080507314,0.993779041
"Density,VF,PV",SK_LR,0.925910136,0.9284530945666547
"Density,VF,LCD",SK_RF,0.05856202,0.9954747969986859
"Density,VF,LCD",XG_RF,3.575364408692253,0.7237245285423577
"Density,VF,LCD",SK_GB,0.074642582,0.9942322202577036
"Density,VF,LCD",SK_LR,2.808432126655542,0.7829869011499315
"Density,VF,PLD",SK_RF,0.071262365,0.994493416
"Density,VF,PLD",XG_RF,3.3093463713860043,0.7442802678382865
"Density,VF,PLD",SK_GB,0.083517494,0.9935464382423258
"Density,VF,PLD",SK_LR,3.0205416156067737,0.7665967818887524
"Density,PV,LCD",SK_RF,0.051832717,0.9959947835659025
"Density,PV,LCD",XG_RF,3.575364408692253,0.7237245285423577
"Density,PV,LCD",SK_GB,0.10691900969740628,0.9917381568882542
"Density,PV,LCD",SK_LR,0.915408516,0.9292645754925034
"Density,PV,PLD",SK_RF,0.064512224,0.9950150130301605
"Density,PV,PLD",XG_RF,3.3093463713860043,0.7442802678382865
"Density,PV,PLD",SK_GB,0.12117987577454822,0.9906361915922753
"Density,PV,PLD",SK_LR,0.9857130196801587,0.9238320075648792
"Density,LCD,PLD",SK_RF,0.14629517392180774,0.9886954828858945
"Density,LCD,PLD",XG_RF,3.3093463713860043,0.7442802678382865
"Density,LCD,PLD",SK_GB,0.17216867607573316,0.9866961862579878
"Density,LCD,PLD",SK_LR,2.4715042137657783,0.8090219866238919
"GSA,VSA,VF",SK_RF,0.066069686,0.9948946648593061
"GSA,VSA,VF",XG_RF,0.4085421290155495,0.9684311425627902
"GSA,VSA,VF",SK_GB,0.14642639861526555,0.9886853428945795
"GSA,VSA,VF",SK_LR,0.9847913767188889,0.9239032247373221
"GSA,VSA,PV",SK_RF,0.05639967,0.9956418860411298
"GSA,VSA,PV",XG_RF,0.25653880612697844,0.98017674
"GSA,VSA,PV",SK_GB,0.12914875787237584,0.9900204203290119
"GSA,VSA,PV",SK_LR,0.3691000914888177,0.9714789067253622
"GSA,VSA,LCD",SK_RF,0.13050461215598255,0.9899156507898509
"GSA,VSA,LCD",XG_RF,3.575364408692253,0.7237245285423577
"GSA,VSA,LCD",SK_GB,0.19920590133377086,0.9846069664467398
"GSA,VSA,LCD",SK_LR,0.6331300518782882,0.9510767900604977
"GSA,VSA,PLD",SK_RF,0.17013827330422107,0.9868530794914676
"GSA,VSA,PLD",XG_RF,3.3093463713860043,0.7442802678382865
"GSA,VSA,PLD",SK_GB,0.23879088408255922,0.9815481566244526
"GSA,VSA,PLD",SK_LR,0.7837449260565167,0.9394384811734482
"GSA,VF,PV",SK_RF,0.057002451,0.9955953080251392
"GSA,VF,PV",XG_RF,0.25653880612697844,0.98017674
"GSA,VF,PV",SK_GB,0.077627959,0.9940015342377894
"GSA,VF,PV",SK_LR,0.6862234523373679,0.9469741581140979
"GSA,VF,LCD",SK_RF,0.1439976757251078,0.9888730151105604
"GSA,VF,LCD",XG_RF,3.575364408692253,0.7237245285423577
"GSA,VF,LCD",SK_GB,0.1912956670798109,0.9852182058752412
"GSA,VF,LCD",SK_LR,1.4370887631377292,0.8889533121163509
"GSA,VF,PLD",SK_RF,0.1712077667437883,0.9867704376204687
"GSA,VF,PLD",XG_RF,3.3093463713860043,0.7442802678382865
"GSA,VF,PLD",SK_GB,0.21635911078618167,0.983281504
"GSA,VF,PLD",SK_LR,2.104613419788685,0.8373723631150438
"GSA,PV,LCD",SK_RF,0.081219352,0.9937240201889413
"GSA,PV,LCD",XG_RF,3.575364408692253,0.7237245285423577
"GSA,PV,LCD",SK_GB,0.10492746475475373,0.9918920475005294
"GSA,PV,LCD",SK_LR,0.4809748798003917,0.9628341208093136
"GSA,PV,PLD",SK_RF,0.097073355,0.99249895
"GSA,PV,PLD",XG_RF,3.3093463713860043,0.7442802678382865
