Features,Model,MSE,R²
"Density,GSA,LCD,PLD",SK_RF,0.09647623160358758,0.9925450909826317
"Density,GSA,LCD,PLD",XG_RF,0.303881332332591,0.9765184890935157
"Density,GSA,LCD,PLD",SK_GB,0.09984305869662721,0.9922849296015471
"Density,GSA,LCD,PLD",SK_LR,1.3593694361478659,0.8949588380575092
"Density,VSA,VF,PV",SK_RF,0.048843961032535015,0.9962257306334102
"Density,VSA,VF,PV",XG_RF,0.15198464862104447,0.9882558459355864
"Density,VSA,VF,PV",SK_GB,0.0473460604927521,0.9963414763674169
"Density,VSA,VF,PV",SK_LR,0.8613074723696814,0.9334450699849192
"Density,VSA,VF,LCD",SK_RF,0.04613561712730397,0.9964350097176535
"Density,VSA,VF,LCD",XG_RF,0.07516972101921886,0.9941914871492721
"Density,VSA,VF,LCD",SK_GB,0.04776904992958685,0.996308791137962
"Density,VSA,VF,LCD",SK_LR,2.655882727827872,0.7947746945785487
"Density,VSA,VF,PLD",SK_RF,0.04945033949297689,0.9961788745717923
"Density,VSA,VF,PLD",XG_RF,0.08551931970518238,0.9933917532118277
"Density,VSA,VF,PLD",SK_GB,0.05033328147473802,0.9961106479004948
"Density,VSA,VF,PLD",SK_LR,2.530172785976802,0.8044885501417416
"Density,VSA,PV,LCD",SK_RF,0.04248061079260786,0.9967174392780765
"Density,VSA,PV,LCD",XG_RF,0.17088965463902425,0.9867950187712757
"Density,VSA,PV,LCD",SK_GB,0.05404152112027495,0.9958241048969738
"Density,VSA,PV,LCD",SK_LR,0.9116820029836926,0.9295525304829292
"Density,VSA,PV,PLD",SK_RF,0.04434010756698156,0.9965737522886426
"Density,VSA,PV,PLD",XG_RF,0.17479995376646013,0.9864928622323936
"Density,VSA,PV,PLD",SK_GB,0.05127539707524497,0.9960378487667716
"Density,VSA,PV,PLD",SK_LR,0.9849084173796219,0.9238941807742382
"Density,VSA,LCD,PLD",SK_RF,0.09850038712489095,0.9923886804865176
"Density,VSA,LCD,PLD",XG_RF,0.21620073768860526,0.9832937418660894
"Density,VSA,LCD,PLD",SK_GB,0.10066069378451324,0.9922217493229616
"Density,VSA,LCD,PLD",SK_LR,2.430664484788468,0.8121777531661716
